datetime,lca_mode,electrolyser_tech,scenario,wind_power_kw,grid_carbon_intensity_gco2_per_kwh,electricity_source,wind_fraction,grid_fraction,wind_used_kw,grid_topup_kw,surplus_wind_kw,wind_above_minimum,gwp100_kgco2e_per_kg_h2,electricity_exchanges_swapped,direct_electricity_kwh_per_kg_h2,wind_electricity_kwh_per_kg_h2,grid_electricity_kwh_per_kg_h2,temporary_grid_activity_code,error,minimum_required_wind_kw
2023-01-15 00:00:00,blended,AE operation,AE operation (blended),805.38,56.0,blended,0.80538,0.19462000000000002,805.38,194.62,0.0,,1.8128173650014399,1.0,51.8,41.718683999999996,10.081316000000001,custom_gb_elec_mix_2023-01-15T00:00:00,,
2023-01-15 00:00:00,blended,PEM operation,PEM operation (blended),805.38,56.0,blended,0.80538,0.19462000000000002,805.38,194.62,0.0,,1.8949444398729933,1.0,54.0,43.49052,10.50948,custom_gb_elec_mix_2023-01-15T00:00:00,,
2023-01-15 00:00:00,blended,SOEC operation,SOEC operation (blended),805.38,56.0,blended,0.80538,0.19462000000000002,805.38,194.62,0.0,,3.0557498154274176,1.0,42.3,34.067574,8.232426,custom_gb_elec_mix_2023-01-15T00:00:00,,
2023-01-15 00:30:00,blended,AE operation,AE operation (blended),805.38,57.0,blended,0.80538,0.19462000000000002,805.38,194.62,0.0,,1.8210799443727872,1.0,51.8,41.718683999999996,10.081316000000001,custom_gb_elec_mix_2023-01-15T00:30:00,,
2023-01-15 00:30:00,blended,PEM operation,PEM operation (blended),805.38,57.0,blended,0.80538,0.19462000000000002,805.38,194.62,0.0,,1.9035579399990807,1.0,54.0,43.49052,10.50948,custom_gb_elec_mix_2023-01-15T00:30:00,,
2023-01-15 00:30:00,blended,SOEC operation,SOEC operation (blended),805.38,57.0,blended,0.80538,0.19462000000000002,805.38,194.62,0.0,,3.0624970566326892,1.0,42.3,34.067574,8.232426,custom_gb_elec_mix_2023-01-15T00:30:00,,
2023-01-15 01:00:00,blended,AE operation,AE operation (blended),830.923,55.0,blended,0.830923,0.16907700000000003,830.923,169.07700000000003,0.0,,1.6761586229746643,1.0,51.8,43.04181139999999,8.7581886,custom_gb_elec_mix_2023-01-15T01:00:00,,
2023-01-15 01:00:00,blended,PEM operation,PEM operation (blended),830.923,55.0,blended,0.830923,0.16907700000000003,830.923,169.07700000000003,0.0,,1.7524816837501778,1.0,54.0,44.869842,9.130158000000002,custom_gb_elec_mix_2023-01-15T01:00:00,,
2023-01-15 01:00:00,blended,SOEC operation,SOEC operation (blended),830.923,55.0,blended,0.830923,0.16907700000000003,830.923,169.07700000000003,0.0,,2.944154050250044,1.0,42.3,35.14804289999999,7.151957100000001,custom_gb_elec_mix_2023-01-15T01:00:00,,
2023-01-15 01:30:00,blended,AE operation,AE operation (blended),830.923,55.0,blended,0.830923,0.16907700000000003,830.923,169.07700000000003,0.0,,1.6713527047219094,1.0,51.8,43.04181139999999,8.7581886,custom_gb_elec_mix_2023-01-15T01:30:00,,
2023-01-15 01:30:00,blended,PEM operation,PEM operation (blended),830.923,55.0,blended,0.830923,0.16907700000000003,830.923,169.07700000000003,0.0,,1.747471652704788,1.0,54.0,44.869842,9.130158000000002,custom_gb_elec_mix_2023-01-15T01:30:00,,
2023-01-15 01:30:00,blended,SOEC operation,SOEC operation (blended),830.923,55.0,blended,0.830923,0.16907700000000003,830.923,169.07700000000003,0.0,,2.9402295261492015,1.0,42.3,35.14804289999999,7.151957100000001,custom_gb_elec_mix_2023-01-15T01:30:00,,
2023-01-15 02:00:00,blended,AE operation,AE operation (blended),859.556,65.0,blended,0.859556,0.140444,859.556,140.44400000000002,0.0,,1.6237385485166105,1.0,51.8,44.525000799999994,7.2749992,custom_gb_elec_mix_2023-01-15T02:00:00,,
2023-01-15 02:00:00,blended,PEM operation,PEM operation (blended),859.556,65.0,blended,0.859556,0.140444,859.556,140.44400000000002,0.0,,1.6978351723613962,1.0,54.0,46.416024,7.583976000000001,custom_gb_elec_mix_2023-01-15T02:00:00,,
