datetime,lca_mode,electrolyser_tech,scenario,wind_power_kw,grid_carbon_intensity_gco2_per_kwh,electricity_source,wind_fraction,grid_fraction,wind_used_kw,grid_topup_kw,surplus_wind_kw,wind_above_minimum,gwp100_kgco2e_per_kg_h2,electricity_exchanges_swapped,direct_electricity_kwh_per_kg_h2,wind_electricity_kwh_per_kg_h2,grid_electricity_kwh_per_kg_h2,temporary_grid_activity_code,error,minimum_required_wind_kw
2023-01-15 00:00:00,switching,AE operation,AE operation (switching),805.38,56.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 00:00:00,switching,PEM operation,PEM operation (switching),805.38,56.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 00:00:00,switching,SOEC operation,SOEC operation (switching),805.38,56.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 00:30:00,switching,AE operation,AE operation (switching),805.38,57.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 00:30:00,switching,PEM operation,PEM operation (switching),805.38,57.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 00:30:00,switching,SOEC operation,SOEC operation (switching),805.38,57.0,wind,,,,,,,,,,,,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),
2023-01-15 01:00:00,switching,AE operation,AE operation (switching),830.923,55.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 01:00:00,switching,PEM operation,PEM operation (switching),830.923,55.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 01:00:00,switching,SOEC operation,SOEC operation (switching),830.923,55.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 01:30:00,switching,AE operation,AE operation (switching),830.923,55.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 01:30:00,switching,PEM operation,PEM operation (switching),830.923,55.0,wind,,,,,,,,,,,,,OperationalError: database is locked,
2023-01-15 01:30:00,switching,SOEC operation,SOEC operation (switching),830.923,55.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 02:00:00,switching,AE operation,AE operation (switching),859.556,65.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 02:00:00,switching,PEM operation,PEM operation (switching),859.556,65.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 02:00:00,switching,SOEC operation,SOEC operation (switching),859.556,65.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 02:30:00,switching,AE operation,AE operation (switching),859.556,65.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
2023-01-15 02:30:00,switching,PEM operation,PEM operation (switching),859.556,65.0,wind,1.0,0.0,,,,True,0.9762296735385536,1.0,,,,,,100.0
2023-01-15 02:30:00,switching,SOEC operation,SOEC operation (switching),859.556,65.0,wind,1.0,0.0,,,,True,2.336089985685824,1.0,,,,,,100.0
2023-01-15 03:00:00,switching,AE operation,AE operation (switching),889.224,70.0,wind,1.0,0.0,,,,True,0.9315317448681073,1.0,,,,,,100.0
