datetime,lca_mode,electrolyser_tech,scenario,wind_power_kw,grid_carbon_intensity_gco2_per_kwh,electricity_source,wind_fraction,grid_fraction,wind_used_kw,grid_topup_kw,surplus_wind_kw,wind_above_minimum,gwp100_kgco2e_per_kg_h2,electricity_exchanges_swapped,direct_electricity_kwh_per_kg_h2,wind_electricity_kwh_per_kg_h2,grid_electricity_kwh_per_kg_h2,temporary_grid_activity_code,minimum_required_wind_kw
2025-01-01 00:00:00,switching,AE operation,AE operation (switching),975.52,51.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 00:30:00,switching,AE operation,AE operation (switching),975.52,55.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 01:00:00,switching,AE operation,AE operation (switching),975.521,54.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 01:30:00,switching,AE operation,AE operation (switching),975.521,54.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 02:00:00,switching,AE operation,AE operation (switching),977.368,53.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 02:30:00,switching,AE operation,AE operation (switching),977.368,48.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 03:00:00,switching,AE operation,AE operation (switching),979.466,46.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 03:30:00,switching,AE operation,AE operation (switching),979.466,45.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 04:00:00,switching,AE operation,AE operation (switching),981.31,45.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 04:30:00,switching,AE operation,AE operation (switching),981.31,45.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 05:00:00,switching,AE operation,AE operation (switching),983.237,46.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 05:30:00,switching,AE operation,AE operation (switching),983.237,44.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 06:00:00,switching,AE operation,AE operation (switching),984.023,42.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 06:30:00,switching,AE operation,AE operation (switching),984.023,42.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 07:00:00,switching,AE operation,AE operation (switching),985.53,42.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 07:30:00,switching,AE operation,AE operation (switching),985.53,43.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 08:00:00,switching,AE operation,AE operation (switching),988.543,43.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 08:30:00,switching,AE operation,AE operation (switching),988.543,42.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 09:00:00,switching,AE operation,AE operation (switching),988.537,37.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 09:30:00,switching,AE operation,AE operation (switching),988.537,36.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 10:00:00,switching,AE operation,AE operation (switching),983.294,34.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 10:30:00,switching,AE operation,AE operation (switching),983.294,38.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 11:00:00,switching,AE operation,AE operation (switching),963.978,32.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 11:30:00,switching,AE operation,AE operation (switching),963.978,33.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 12:00:00,switching,AE operation,AE operation (switching),899.727,35.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 12:30:00,switching,AE operation,AE operation (switching),899.727,38.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 13:00:00,switching,AE operation,AE operation (switching),754.669,38.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 13:30:00,switching,AE operation,AE operation (switching),754.669,42.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 14:00:00,switching,AE operation,AE operation (switching),566.075,41.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 14:30:00,switching,AE operation,AE operation (switching),566.075,49.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 15:00:00,switching,AE operation,AE operation (switching),437.91,65.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
2025-01-01 15:30:00,switching,AE operation,AE operation (switching),437.91,73.0,wind,1.0,0.0,,,,True,0.931531755904667,1,,,,,100.0
