datetime,lca_mode,electrolyser_tech,scenario,wind_power_kw,grid_carbon_intensity_gco2_per_kwh,electricity_source,wind_fraction,grid_fraction,wind_used_kw,grid_topup_kw,surplus_wind_kw,wind_above_minimum,gwp100_kgco2e_per_kg_h2,electricity_exchanges_swapped,direct_electricity_kwh_per_kg_h2,wind_electricity_kwh_per_kg_h2,grid_electricity_kwh_per_kg_h2,temporary_grid_activity_code,minimum_required_wind_kw
2023-02-07 00:00:00,switching,AE operation,AE operation (switching),9.347,225.0,grid,0.0,1.0,,,,False,16.793678292702484,1,,,,custom_gb_elec_mix_2023-02-07T00:00:00,100.0
2023-02-07 00:30:00,switching,AE operation,AE operation (switching),9.347,230.0,grid,0.0,1.0,,,,False,17.16596578281248,1,,,,custom_gb_elec_mix_2023-02-07T00:30:00,100.0
2023-02-07 01:00:00,switching,AE operation,AE operation (switching),11.367,229.0,grid,0.0,1.0,,,,False,16.90693834513031,1,,,,custom_gb_elec_mix_2023-02-07T01:00:00,100.0
2023-02-07 01:30:00,switching,AE operation,AE operation (switching),11.367,229.0,grid,0.0,1.0,,,,False,16.968420909264665,1,,,,custom_gb_elec_mix_2023-02-07T01:30:00,100.0
2023-02-07 02:00:00,switching,AE operation,AE operation (switching),13.95,228.0,grid,0.0,1.0,,,,False,17.294468250371303,1,,,,custom_gb_elec_mix_2023-02-07T02:00:00,100.0
2023-02-07 02:30:00,switching,AE operation,AE operation (switching),13.95,230.0,grid,0.0,1.0,,,,False,17.447770458291565,1,,,,custom_gb_elec_mix_2023-02-07T02:30:00,100.0
2023-02-07 03:00:00,switching,AE operation,AE operation (switching),15.302,230.0,grid,0.0,1.0,,,,False,17.49771431692653,1,,,,custom_gb_elec_mix_2023-02-07T03:00:00,100.0
2023-02-07 03:30:00,switching,AE operation,AE operation (switching),15.302,232.0,grid,0.0,1.0,,,,False,17.596468301582455,1,,,,custom_gb_elec_mix_2023-02-07T03:30:00,100.0
2023-02-07 04:00:00,switching,AE operation,AE operation (switching),15.917,240.0,grid,0.0,1.0,,,,False,18.548486355699712,1,,,,custom_gb_elec_mix_2023-02-07T04:00:00,100.0
2023-02-07 04:30:00,switching,AE operation,AE operation (switching),15.917,246.0,grid,0.0,1.0,,,,False,18.838539627110265,1,,,,custom_gb_elec_mix_2023-02-07T04:30:00,100.0
2023-02-07 05:00:00,switching,AE operation,AE operation (switching),16.888,255.0,grid,0.0,1.0,,,,False,20.051299987429715,1,,,,custom_gb_elec_mix_2023-02-07T05:00:00,100.0
2023-02-07 05:30:00,switching,AE operation,AE operation (switching),16.888,263.0,grid,0.0,1.0,,,,False,21.091943950121852,1,,,,custom_gb_elec_mix_2023-02-07T05:30:00,100.0
2023-02-07 06:00:00,switching,AE operation,AE operation (switching),19.144,269.0,grid,0.0,1.0,,,,False,21.08555114441622,1,,,,custom_gb_elec_mix_2023-02-07T06:00:00,100.0
2023-02-07 06:30:00,switching,AE operation,AE operation (switching),19.144,275.0,grid,0.0,1.0,,,,False,21.694732237318828,1,,,,custom_gb_elec_mix_2023-02-07T06:30:00,100.0
2023-02-07 07:00:00,switching,AE operation,AE operation (switching),18.982,276.0,grid,0.0,1.0,,,,False,22.035278015687744,1,,,,custom_gb_elec_mix_2023-02-07T07:00:00,100.0
2023-02-07 07:30:00,switching,AE operation,AE operation (switching),18.982,279.0,grid,0.0,1.0,,,,False,22.686184327018843,1,,,,custom_gb_elec_mix_2023-02-07T07:30:00,100.0
2023-02-07 08:00:00,switching,AE operation,AE operation (switching),12.925,272.0,grid,0.0,1.0,,,,False,21.82979346684879,1,,,,custom_gb_elec_mix_2023-02-07T08:00:00,100.0
2023-02-07 08:30:00,switching,AE operation,AE operation (switching),12.925,265.0,grid,0.0,1.0,,,,False,21.395936722056426,1,,,,custom_gb_elec_mix_2023-02-07T08:30:00,100.0
2023-02-07 09:00:00,switching,AE operation,AE operation (switching),8.934,261.0,grid,0.0,1.0,,,,False,21.266682475120543,1,,,,custom_gb_elec_mix_2023-02-07T09:00:00,100.0
2023-02-07 09:30:00,switching,AE operation,AE operation (switching),8.934,254.0,grid,0.0,1.0,,,,False,20.498104778660284,1,,,,custom_gb_elec_mix_2023-02-07T09:30:00,100.0
2023-02-07 10:00:00,switching,AE operation,AE operation (switching),13.941,249.0,grid,0.0,1.0,,,,False,19.94987736955743,1,,,,custom_gb_elec_mix_2023-02-07T10:00:00,100.0
2023-02-07 10:30:00,switching,AE operation,AE operation (switching),13.941,246.0,grid,0.0,1.0,,,,False,19.49467995786905,1,,,,custom_gb_elec_mix_2023-02-07T10:30:00,100.0
2023-02-07 11:00:00,switching,AE operation,AE operation (switching),25.445,255.0,grid,0.0,1.0,,,,False,19.905229543117233,1,,,,custom_gb_elec_mix_2023-02-07T11:00:00,100.0
2023-02-07 11:30:00,switching,AE operation,AE operation (switching),25.445,243.0,grid,0.0,1.0,,,,False,19.336105407502,1,,,,custom_gb_elec_mix_2023-02-07T11:30:00,100.0
2023-02-07 12:00:00,switching,AE operation,AE operation (switching),24.868,242.0,grid,0.0,1.0,,,,False,19.11798116377762,1,,,,custom_gb_elec_mix_2023-02-07T12:00:00,100.0
2023-02-07 12:30:00,switching,AE operation,AE operation (switching),24.868,235.0,grid,0.0,1.0,,,,False,18.766053070781318,1,,,,custom_gb_elec_mix_2023-02-07T12:30:00,100.0
2023-02-07 13:00:00,switching,AE operation,AE operation (switching),18.524,240.0,grid,0.0,1.0,,,,False,19.071983465863426,1,,,,custom_gb_elec_mix_2023-02-07T13:00:00,100.0
2023-02-07 13:30:00,switching,AE operation,AE operation (switching),18.524,243.0,grid,0.0,1.0,,,,False,19.26002197991097,1,,,,custom_gb_elec_mix_2023-02-07T13:30:00,100.0
2023-02-07 14:00:00,switching,AE operation,AE operation (switching),14.411,244.0,grid,0.0,1.0,,,,False,19.319501932764,1,,,,custom_gb_elec_mix_2023-02-07T14:00:00,100.0
2023-02-07 14:30:00,switching,AE operation,AE operation (switching),14.411,250.0,grid,0.0,1.0,,,,False,19.72785479182152,1,,,,custom_gb_elec_mix_2023-02-07T14:30:00,100.0
2023-02-07 15:00:00,switching,AE operation,AE operation (switching),10.864,249.0,grid,0.0,1.0,,,,False,20.192074538078106,1,,,,custom_gb_elec_mix_2023-02-07T15:00:00,100.0
2023-02-07 15:30:00,switching,AE operation,AE operation (switching),10.864,250.0,grid,0.0,1.0,,,,False,20.421540477957997,1,,,,custom_gb_elec_mix_2023-02-07T15:30:00,100.0
2023-02-07 16:00:00,switching,AE operation,AE operation (switching),12.067,257.0,grid,0.0,1.0,,,,False,20.94758387900677,1,,,,custom_gb_elec_mix_2023-02-07T16:00:00,100.0
2023-02-07 16:30:00,switching,AE operation,AE operation (switching),12.067,250.0,grid,0.0,1.0,,,,False,21.31982792415827,1,,,,custom_gb_elec_mix_2023-02-07T16:30:00,100.0
2023-02-07 17:00:00,switching,AE operation,AE operation (switching),21.131,252.0,grid,0.0,1.0,,,,False,21.45156704692703,1,,,,custom_gb_elec_mix_2023-02-07T17:00:00,100.0
2023-02-07 17:30:00,switching,AE operation,AE operation (switching),21.131,253.0,grid,0.0,1.0,,,,False,21.961219401675137,1,,,,custom_gb_elec_mix_2023-02-07T17:30:00,100.0
2023-02-07 18:00:00,switching,AE operation,AE operation (switching),35.201,250.0,grid,0.0,1.0,,,,False,21.8880733122891,1,,,,custom_gb_elec_mix_2023-02-07T18:00:00,100.0
2023-02-07 18:30:00,switching,AE operation,AE operation (switching),35.201,249.0,grid,0.0,1.0,,,,False,21.420379475542045,1,,,,custom_gb_elec_mix_2023-02-07T18:30:00,100.0
2023-02-07 19:00:00,switching,AE operation,AE operation (switching),49.494,248.0,grid,0.0,1.0,,,,False,20.798655274506903,1,,,,custom_gb_elec_mix_2023-02-07T19:00:00,100.0
2023-02-07 19:30:00,switching,AE operation,AE operation (switching),49.494,249.0,grid,0.0,1.0,,,,False,20.497953247703645,1,,,,custom_gb_elec_mix_2023-02-07T19:30:00,100.0
2023-02-07 20:00:00,switching,AE operation,AE operation (switching),58.837,249.0,grid,0.0,1.0,,,,False,20.532209832308876,1,,,,custom_gb_elec_mix_2023-02-07T20:00:00,100.0
2023-02-07 20:30:00,switching,AE operation,AE operation (switching),58.837,252.0,grid,0.0,1.0,,,,False,19.83054004824018,1,,,,custom_gb_elec_mix_2023-02-07T20:30:00,100.0
2023-02-07 21:00:00,switching,AE operation,AE operation (switching),59.741,258.0,grid,0.0,1.0,,,,False,20.36657821581957,1,,,,custom_gb_elec_mix_2023-02-07T21:00:00,100.0
2023-02-07 21:30:00,switching,AE operation,AE operation (switching),59.741,253.0,grid,0.0,1.0,,,,False,19.771774960402166,1,,,,custom_gb_elec_mix_2023-02-07T21:30:00,100.0
2023-02-07 22:00:00,switching,AE operation,AE operation (switching),57.565,253.0,grid,0.0,1.0,,,,False,19.465972399000947,1,,,,custom_gb_elec_mix_2023-02-07T22:00:00,100.0
2023-02-07 22:30:00,switching,AE operation,AE operation (switching),57.565,245.0,grid,0.0,1.0,,,,False,18.841915220541555,1,,,,custom_gb_elec_mix_2023-02-07T22:30:00,100.0
2023-02-07 23:00:00,switching,AE operation,AE operation (switching),57.787,232.0,grid,0.0,1.0,,,,False,17.470262895909066,1,,,,custom_gb_elec_mix_2023-02-07T23:00:00,100.0
2023-02-07 23:30:00,switching,AE operation,AE operation (switching),57.787,222.0,grid,0.0,1.0,,,,False,16.795127879775382,1,,,,custom_gb_elec_mix_2023-02-07T23:30:00,100.0
2023-02-15 00:00:00,switching,AE operation,AE operation (switching),274.402,133.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 00:30:00,switching,AE operation,AE operation (switching),274.402,137.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 01:00:00,switching,AE operation,AE operation (switching),234.552,136.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 01:30:00,switching,AE operation,AE operation (switching),234.552,133.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 02:00:00,switching,AE operation,AE operation (switching),213.128,133.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 02:30:00,switching,AE operation,AE operation (switching),213.128,138.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 03:00:00,switching,AE operation,AE operation (switching),220.093,143.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 03:30:00,switching,AE operation,AE operation (switching),220.093,140.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 04:00:00,switching,AE operation,AE operation (switching),237.417,144.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 04:30:00,switching,AE operation,AE operation (switching),237.417,143.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 05:00:00,switching,AE operation,AE operation (switching),236.823,153.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 05:30:00,switching,AE operation,AE operation (switching),236.823,160.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 06:00:00,switching,AE operation,AE operation (switching),230.507,164.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 06:30:00,switching,AE operation,AE operation (switching),230.507,177.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 07:00:00,switching,AE operation,AE operation (switching),232.895,182.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 07:30:00,switching,AE operation,AE operation (switching),232.895,186.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 08:00:00,switching,AE operation,AE operation (switching),248.684,180.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 08:30:00,switching,AE operation,AE operation (switching),248.684,178.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 09:00:00,switching,AE operation,AE operation (switching),264.219,172.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 09:30:00,switching,AE operation,AE operation (switching),264.219,170.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 10:00:00,switching,AE operation,AE operation (switching),305.815,170.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 10:30:00,switching,AE operation,AE operation (switching),305.815,161.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
2023-02-15 11:00:00,switching,AE operation,AE operation (switching),357.653,161.0,wind,1.0,0.0,,,,True,0.931023311046187,1,,,,,100.0
