case,duration_h,capex_GBP_per_kW,capex_GBP_per_kWh,capex_GBP_per_MW,power_component_GBP_per_kW,energy_component_GBP_per_kWh,fixed_opex_GBP_per_kW_year,crf,annualised_capex_GBP_per_kW_year,total_annual_GBP_per_kW_year,opex_is_proxy
low,1,275.9,275.9,275862.0,206.9,69.0,4.14,0.09634,26.58,30.72,True
low,2,344.8,172.4,344828.0,206.9,69.0,5.17,0.09634,33.22,38.39,True
low,4,482.8,120.7,482759.0,206.9,69.0,7.24,0.09634,46.51,53.75,True
low,8,758.6,94.8,758621.0,206.9,69.0,11.38,0.09634,73.09,84.47,True
central,1,400.0,400.0,400000.0,300.0,100.0,8.0,0.09634,38.54,46.54,True
central,2,500.0,250.0,500000.0,300.0,100.0,10.0,0.09634,48.17,58.17,True
central,4,700.0,175.0,700000.0,300.0,100.0,14.0,0.09634,67.44,81.44,True
central,8,1100.0,137.5,1100000.0,300.0,100.0,22.0,0.09634,105.98,127.98,True
high,1,482.8,482.8,482759.0,362.1,120.7,14.48,0.09634,46.51,60.99,True
high,2,603.4,301.7,603448.0,362.1,120.7,18.1,0.09634,58.14,76.24,True
high,4,844.8,211.2,844828.0,362.1,120.7,25.34,0.09634,81.39,106.74,True
high,8,1327.6,165.9,1327586.0,362.1,120.7,39.83,0.09634,127.9,167.73,True
