asset,parameter,unit,low,central,high,source,notes
onshore_wind,predevelopment_capex,GBP_per_kW,36.0,81.0,199.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,construction_capex,GBP_per_kW,963.0,1204.0,1603.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,infrastructure_capex,GBP_per_kW,242.0,303.0,403.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,total_capex,GBP_per_kW,1241.0,1588.0,2205.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,insurance,kGBP_per_MW_year,2.2,3.6,4.4,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,connection_and_uos,kGBP_per_MW_year,0.4,17.0,45.3,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,om,kGBP_per_MW_year,14.8,19.5,22.8,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,total_opex,kGBP_per_MW_year,17.4,40.1,72.4,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,net_load_factor,fraction,0.33,0.381,0.413,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,operating_lifetime,years,25.0,35.0,40.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,hurdle_rate,fraction,0.058,0.058,0.058,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,predevelopment_period,years,5.0,8.0,13.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,construction_period,years,1.0,2.0,3.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
onshore_wind,reported_lcoe,GBP_per_MWh,27.2,45.8,90.6,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 3, p.6"
offshore_wind,predevelopment_capex,GBP_per_kW,104.0,216.0,308.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,construction_capex,GBP_per_kW,2415.0,2823.0,3101.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,infrastructure_capex,GBP_per_kW,802.0,937.0,1030.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,total_capex,GBP_per_kW,3321.0,3976.0,4439.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,insurance,kGBP_per_MW_year,8.0,8.6,9.7,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,connection_and_uos,kGBP_per_MW_year,35.3,83.4,132.9,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,om,kGBP_per_MW_year,30.5,46.5,64.6,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,total_opex,kGBP_per_MW_year,73.7,138.5,207.2,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,net_load_factor,fraction,0.46,0.505,0.561,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,operating_lifetime,years,35.0,35.0,35.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,hurdle_rate,fraction,0.062,0.062,0.062,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,predevelopment_period,years,7.0,7.0,15.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,construction_period,years,4.0,5.0,5.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
offshore_wind,reported_lcoe,GBP_per_MWh,55.4,88.5,124.0,DESNZ/Arup 2024 Offshore Wind cost report (Final 24 July 2025),"Table 3, p.6; infrastructure excludes OFTO (recovered via TNUoS in opex)"
solar_pv,predevelopment_capex,GBP_per_kWp,12.0,24.0,59.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,construction_capex,GBP_per_kWp,423.0,522.0,601.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,infrastructure_capex,GBP_per_kWp,91.0,112.0,129.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,total_capex,GBP_per_kWp,526.0,659.0,788.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,insurance,kGBP_per_MWp_year,0.8,1.6,2.7,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,connection_and_uos,kGBP_per_MWp_year,1.1,1.6,2.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,om,kGBP_per_MWp_year,4.5,6.1,7.6,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,total_opex,kGBP_per_MWp_year,6.5,9.3,12.3,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,net_load_factor,fraction,0.115,0.122,0.145,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,operating_lifetime,years,35.0,38.0,40.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,hurdle_rate,fraction,0.05,0.05,0.05,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,predevelopment_period,years,1.0,3.0,4.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,construction_period,years,1.0,1.0,1.0,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
solar_pv,reported_lcoe,GBP_per_MWh,30.3,46.5,65.2,"DESNZ/Arup 2024 Onshore Wind and Solar PV cost report (ref 299867-00, Final 14 July 2025)","Table 4, p.7; >5MW; per kWp/MWp peak DC"
