DATETIME,provider,price_GBP_per_MWh,volume_MWh
2025-01-01 00:00:00,APXMIDP,9.07,1470.95
2025-01-01 00:30:00,APXMIDP,23.51,1792.8
2025-01-01 01:00:00,APXMIDP,9.11,1900.55
2025-01-01 01:30:00,APXMIDP,8.94,1891.0
2025-01-01 02:00:00,APXMIDP,29.65,2141.6
2025-01-01 02:30:00,APXMIDP,17.91,1866.55
2025-01-01 03:00:00,APXMIDP,11.74,1376.8
2025-01-01 03:30:00,APXMIDP,6.2,1368.5
2025-01-01 04:00:00,APXMIDP,7.01,1824.2
2025-01-01 04:30:00,APXMIDP,4.32,1787.1
2025-01-01 05:00:00,APXMIDP,3.27,1563.65
2025-01-01 05:30:00,APXMIDP,3.44,1964.6
2025-01-01 06:00:00,APXMIDP,1.84,1593.25
2025-01-01 06:30:00,APXMIDP,4.63,1704.05
2025-01-01 07:00:00,APXMIDP,-1.5,1438.3
2025-01-01 07:30:00,APXMIDP,-2.25,1435.85
2025-01-01 08:00:00,APXMIDP,-6.35,2000.1
2025-01-01 08:30:00,APXMIDP,-2.9,2378.5
2025-01-01 09:00:00,APXMIDP,-14.33,2340.25
2025-01-01 09:30:00,APXMIDP,1.84,2488.1
2025-01-01 10:00:00,APXMIDP,-3.34,2752.7
2025-01-01 10:30:00,APXMIDP,16.96,2692.05
2025-01-01 11:00:00,APXMIDP,10.53,2036.5
2025-01-01 11:30:00,APXMIDP,25.49,1870.35
2025-01-01 12:00:00,APXMIDP,45.57,1725.6
2025-01-01 12:30:00,APXMIDP,60.24,1901.3
2025-01-01 13:00:00,APXMIDP,82.29,1629.2
2025-01-01 13:30:00,APXMIDP,85.57,1723.95
2025-01-01 14:00:00,APXMIDP,87.18,1734.65
2025-01-01 14:30:00,APXMIDP,90.24,1915.05
2025-01-01 15:00:00,APXMIDP,97.49,1690.7
2025-01-01 15:30:00,APXMIDP,112.25,1561.1
2025-01-01 16:00:00,APXMIDP,119.72,1822.55
2025-01-01 16:30:00,APXMIDP,121.25,2171.65
2025-01-01 17:00:00,APXMIDP,125.79,2048.3
2025-01-01 17:30:00,APXMIDP,126.73,1894.95
2025-01-01 18:00:00,APXMIDP,125.66,2345.4
2025-01-01 18:30:00,APXMIDP,125.69,2241.8
2025-01-01 19:00:00,APXMIDP,125.56,2061.05
2025-01-01 19:30:00,APXMIDP,120.95,2429.85
2025-01-01 20:00:00,APXMIDP,109.7,2533.95
2025-01-01 20:30:00,APXMIDP,106.87,2323.95
2025-01-01 21:00:00,APXMIDP,106.0,1983.4
2025-01-01 21:30:00,APXMIDP,110.84,2108.1
2025-01-01 22:00:00,APXMIDP,111.04,2177.75
2025-01-01 22:30:00,APXMIDP,108.13,2303.45
2025-01-01 23:00:00,APXMIDP,107.77,1265.2
2025-01-01 23:30:00,APXMIDP,106.05,1324.0
2025-01-02 00:00:00,APXMIDP,110.4,1624.1
2025-01-02 00:30:00,APXMIDP,112.24,1962.95
2025-01-02 01:00:00,APXMIDP,110.88,2095.65
2025-01-02 01:30:00,APXMIDP,108.63,1960.1
2025-01-02 02:00:00,APXMIDP,106.89,2180.45
2025-01-02 02:30:00,APXMIDP,98.16,2287.75
2025-01-02 03:00:00,APXMIDP,101.2,2868.1
2025-01-02 03:30:00,APXMIDP,98.65,2382.85
2025-01-02 04:00:00,APXMIDP,87.39,2358.8
2025-01-02 04:30:00,APXMIDP,85.23,2822.7
2025-01-02 05:00:00,APXMIDP,84.69,2661.85
2025-01-02 05:30:00,APXMIDP,86.89,2379.8
2025-01-02 06:00:00,APXMIDP,99.51,3057.1
2025-01-02 06:30:00,APXMIDP,86.53,3967.45
2025-01-02 07:00:00,APXMIDP,118.11,2672.65
2025-01-02 07:30:00,APXMIDP,126.67,3158.3
2025-01-02 08:00:00,APXMIDP,121.62,2166.45
2025-01-02 08:30:00,APXMIDP,123.01,2457.65
2025-01-02 09:00:00,APXMIDP,115.3,2156.25
2025-01-02 09:30:00,APXMIDP,116.89,2275.4
2025-01-02 10:00:00,APXMIDP,116.21,2113.6
2025-01-02 10:30:00,APXMIDP,110.05,2339.35
2025-01-02 11:00:00,APXMIDP,112.43,2551.85
