startTime,dataProvider,settlementDate,settlementPeriod,price,volume,requested_provider
2025-01-08T00:00:00Z,APXMIDP,2025-01-08,1,55.06,2356.7,APXMIDP
2025-01-07T23:30:00Z,APXMIDP,2025-01-07,48,54.96,2250.5,APXMIDP
2025-01-07T23:00:00Z,APXMIDP,2025-01-07,47,65.25,2171.75,APXMIDP
2025-01-07T22:30:00Z,APXMIDP,2025-01-07,46,79.51,3264.45,APXMIDP
2025-01-07T22:00:00Z,APXMIDP,2025-01-07,45,83.39,3257.2,APXMIDP
2025-01-07T21:30:00Z,APXMIDP,2025-01-07,44,84.34,2931.65,APXMIDP
2025-01-07T21:00:00Z,APXMIDP,2025-01-07,43,86.57,2302.95,APXMIDP
2025-01-07T20:30:00Z,APXMIDP,2025-01-07,42,83.81,2354.85,APXMIDP
2025-01-07T20:00:00Z,APXMIDP,2025-01-07,41,83.45,2295.05,APXMIDP
2025-01-07T19:30:00Z,APXMIDP,2025-01-07,40,101.89,2232.7,APXMIDP
2025-01-07T19:00:00Z,APXMIDP,2025-01-07,39,110.9,2660.5,APXMIDP
2025-01-07T18:30:00Z,APXMIDP,2025-01-07,38,107.84,2556.9,APXMIDP
2025-01-07T18:00:00Z,APXMIDP,2025-01-07,37,112.68,3161.3,APXMIDP
2025-01-07T17:30:00Z,APXMIDP,2025-01-07,36,114.56,2873.35,APXMIDP
2025-01-07T17:00:00Z,APXMIDP,2025-01-07,35,114.55,3310.55,APXMIDP
2025-01-07T16:30:00Z,APXMIDP,2025-01-07,34,119.14,3434.9,APXMIDP
2025-01-07T16:00:00Z,APXMIDP,2025-01-07,33,108.79,3266.55,APXMIDP
2025-01-07T15:30:00Z,APXMIDP,2025-01-07,32,104.25,3210.95,APXMIDP
2025-01-07T15:00:00Z,APXMIDP,2025-01-07,31,102.0,2501.15,APXMIDP
2025-01-07T14:30:00Z,APXMIDP,2025-01-07,30,101.15,3056.8,APXMIDP
2025-01-07T14:00:00Z,APXMIDP,2025-01-07,29,103.18,2952.9,APXMIDP
2025-01-07T13:30:00Z,APXMIDP,2025-01-07,28,103.79,3189.85,APXMIDP
2025-01-07T13:00:00Z,APXMIDP,2025-01-07,27,104.5,3115.45,APXMIDP
2025-01-07T12:30:00Z,APXMIDP,2025-01-07,26,112.57,2720.3,APXMIDP
2025-01-07T12:00:00Z,APXMIDP,2025-01-07,25,113.59,2952.55,APXMIDP
2025-01-07T11:30:00Z,APXMIDP,2025-01-07,24,115.51,2900.25,APXMIDP
