asset,technology,scenario,build_year,capex_GBP_per_kWe,efficiency_pct,capex_GBP_per_kW_H2_HHV,fixed_opex_pct_capex,fixed_opex_GBP_per_kW_H2_HHV_year,variable_opex_GBP_per_kWh_H2_HHV,plant_lifetime_years,source,is_proxy,notes
electrolyser,PEM,Central,2025,2010,73.6185054,2728.234207,0.0275,75.0264407,0.003114423,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Central,2030,1580,75.8515602,2083.015821,0.031132058,64.84856936,0.002615659,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Central,2035,1300,77.1394344,1685.259958,0.034028848,57.34745496,0.002308575,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Central,2040,1120,80.7917917,1386.279443,0.034744036,48.16494289,0.002057264,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Central,2045,1040,81.8396757,1270.777274,0.035490011,45.09989942,0.002030923,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Central,2050,970,82.9253923,1169.726151,0.03587877,41.96833555,0.001936191,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Low,2025,2010,73.6185054,2728.234207,0.0275,75.0264407,0.003114423,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Low,2030,1480,75.8515602,1951.179377,0.031132058,60.74422953,0.002450111,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Low,2035,1180,77.1394344,1529.6975,0.034028848,52.05384373,0.002095476,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Low,2040,930,80.7917917,1151.107038,0.034744036,39.99410436,0.001708264,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
electrolyser,PEM,Low,2045,790,81.8396757,965.3019676,0.035490011,34.25857745,0.00154272,25,NESO Green Hydrogen Data Portal,False,PEM and Alkaline cost assumptions from NESO resource where available.
