_id,Tech,Scenario,Build Year,Capex (£/kWe),Efficiency,Capex (£/kW H2 HHV),Fixed Opex % of capex,Fixed Opex,Variable Opex,Plant Lifetime
1,PEM,Central,2025,2010,0.736185054,2728.234207,0.0275,75.0264407,0.003114423,25
2,PEM,Central,2030,1580,0.758515602,2083.015821,0.031132058,64.84856936,0.002615659,25
3,PEM,Central,2035,1300,0.771394344,1685.259958,0.034028848,57.34745496,0.002308575,25
4,PEM,Central,2040,1120,0.807917917,1386.279443,0.034744036,48.16494289,0.002057264,25
5,PEM,Central,2045,1040,0.818396757,1270.777274,0.035490011,45.09989942,0.002030923,25
6,PEM,Central,2050,970,0.829253923,1169.726151,0.03587877,41.96833555,0.001936191,25
7,PEM,Low,2025,2010,0.736185054,2728.234207,0.0275,75.0264407,0.003114423,25
8,PEM,Low,2030,1480,0.758515602,1951.179377,0.031132058,60.74422953,0.002450111,25
9,PEM,Low,2035,1180,0.771394344,1529.6975,0.034028848,52.05384373,0.002095476,25
10,PEM,Low,2040,930,0.807917917,1151.107038,0.034744036,39.99410436,0.001708264,25
11,PEM,Low,2045,790,0.818396757,965.3019676,0.035490011,34.25857745,0.00154272,25
12,PEM,Low,2050,670,0.829253923,807.9551768,0.03587877,28.98843796,0.001337369,25
13,PEM,High,2025,2010,0.736185054,2728.234207,0.0275,75.0264407,0.003114423,25
14,PEM,High,2030,1740,0.758515602,2293.954132,0.031132058,71.41551309,0.002880536,25
15,PEM,High,2035,1620,0.771394344,2100.093179,0.034028848,71.46375156,0.00287684,25
16,PEM,High,2040,1510,0.807917917,1869.00175,0.034744036,64.93666408,0.002773633,25
17,PEM,High,2045,1460,0.818396757,1783.975788,0.035490011,63.31332034,0.002851103,25
18,PEM,High,2050,1440,0.829253923,1736.500678,0.03587877,62.30350845,0.002874345,25
19,Alkaline,Central,2025,1740,0.746737936,2314.191055,0.0275,63.640254,0.002641771,25
20,Alkaline,Central,2030,1450,0.764511046,1896.637084,0.031132058,59.04621569,0.002381622,25
21,Alkaline,Central,2035,1250,0.774461067,1614.025615,0.034028848,54.92343232,0.002210994,25
22,Alkaline,Central,2040,1110,0.807917917,1373.901948,0.034744036,47.73489876,0.002038896,25
23,Alkaline,Central,2045,1040,0.818396757,1270.777274,0.035490011,45.09989942,0.002030923,25
24,Alkaline,Central,2050,970,0.829253923,1169.726151,0.03587877,41.96833555,0.001936191,25
25,Alkaline,Low,2025,1740,0.746737936,2314.191055,0.0275,63.640254,0.002641771,25
26,Alkaline,Low,2030,1350,0.764511046,1765.834526,0.031132058,54.97406288,0.002217372,25
27,Alkaline,Low,2035,1100,0.774461067,1420.342541,0.034028848,48.33262044,0.001945675,25
28,Alkaline,Low,2040,900,0.807917917,1113.974553,0.034744036,38.70397197,0.001653159,25
29,Alkaline,Low,2045,780,0.818396757,953.0829553,0.035490011,33.82492457,0.001523192,25
30,Alkaline,Low,2050,680,0.829253923,820.0142093,0.03587877,29.42110121,0.001357329,25
31,Alkaline,High,2025,1740,0.746737936,2314.191055,0.0275,63.640254,0.002641771,25
32,Alkaline,High,2030,1580,0.764511046,2066.680408,0.031132058,64.34001434,0.002595147,25
33,Alkaline,High,2035,1420,0.774461067,1833.533099,0.034028848,62.39301911,0.002511689,25
34,Alkaline,High,2040,1320,0.807917917,1633.829344,0.034744036,56.76582555,0.002424633,25
35,Alkaline,High,2045,1240,0.818396757,1515.157519,0.035490011,53.772957,0.002421485,25
36,Alkaline,High,2050,1170,0.829253923,1410.906801,0.03587877,50.62160061,0.002335405,25
