DATETIME,GAS,COAL,NUCLEAR,WIND,WIND_EMB,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,WIND_EMB_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc,_DATE,REP_SEASON,REP_KIND,provider,price_GBP_per_MWh,volume_MWh,wholesale_price_GBP_per_MWh,delivered_uplift_GBP_per_MWh,grid_purchase_price_GBP_per_MWh,grid_purchase_price_GBP_per_kWh,price_source,price_provider_selected
2025-01-01 00:00:00,3711.0,0.0,5062.0,15799.0,5452.0,744.0,336.0,962.0,223.0,0.0,0.0,32289.0,51.0,28019.0,22567.0,21995.0,3711.0,11.5,0.0,15.7,48.9,16.9,2.3,1.0,3.0,0.7,0.0,0.0,100.0,86.8,85.2,68.1,11.5,2025-01-01,Winter,top10,APXMIDP,9.07,1470.95,9.07,0.0,9.07,0.00907,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 00:30:00,3935.0,0.0,5059.0,15317.0,5410.0,745.0,318.0,1097.0,281.0,0.0,0.0,32162.0,55.0,27628.0,22232.0,21472.0,3935.0,12.2,0.0,15.7,47.6,16.8,2.3,1.0,3.4,0.9,0.0,0.0,100.0,85.9,88.8,66.8,12.2,2025-01-01,Winter,top10,APXMIDP,23.51,1792.8,23.51,0.0,23.51,0.023510000000000003,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 01:00:00,3769.0,0.0,5056.0,14992.0,5358.0,744.0,481.0,1106.0,293.0,0.0,0.0,31799.0,54.0,27256.0,21907.0,21094.0,3769.0,11.9,0.0,15.9,47.1,16.8,2.3,1.5,3.5,0.9,0.0,0.0,100.0,85.7,89.0,66.3,11.9,2025-01-01,Winter,top10,APXMIDP,9.11,1900.55,9.11,0.0,9.11,0.00911,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 01:30:00,3719.0,0.0,5057.0,14580.0,5236.0,745.0,454.0,1083.0,223.0,0.0,0.0,31097.0,54.0,26701.0,21465.0,20561.0,3719.0,12.0,0.0,16.3,46.9,16.8,2.4,1.5,3.5,0.7,0.0,0.0,100.0,85.9,89.0,66.1,12.0,2025-01-01,Winter,top10,APXMIDP,8.94,1891.0,8.94,0.0,8.94,0.00894,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 02:00:00,3675.0,0.0,5057.0,14685.0,5115.0,737.0,286.0,1007.0,229.0,0.0,0.0,30791.0,53.0,26601.0,21486.0,20537.0,3675.0,11.9,0.0,16.4,47.7,16.6,2.4,0.9,3.3,0.7,0.0,0.0,100.0,86.4,88.9,66.7,11.9,2025-01-01,Winter,top10,APXMIDP,29.65,2141.6,29.65,0.0,29.65,0.02965,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 02:30:00,3260.0,0.0,5054.0,15020.0,5068.0,757.0,272.0,818.0,241.0,0.0,0.0,30490.0,48.0,26717.0,21654.0,20845.0,3260.0,10.7,0.0,16.6,49.3,16.6,2.5,0.9,2.7,0.8,0.0,0.0,100.0,87.6,89.9,68.4,10.7,2025-01-01,Winter,top10,APXMIDP,17.91,1866.55,17.91,0.0,17.91,0.01791,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 03:00:00,3012.0,0.0,5056.0,14831.0,5044.0,763.0,145.0,794.0,259.0,0.0,0.0,29904.0,46.0,26488.0,21444.0,20638.0,3012.0,10.1,0.0,16.9,49.6,16.9,2.6,0.5,2.7,0.9,0.0,0.0,100.0,88.6,90.2,69.0,10.1,2025-01-01,Winter,top10,APXMIDP,11.74,1376.8,11.74,0.0,11.74,0.01174,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 03:30:00,2974.0,0.0,5056.0,15021.0,4983.0,764.0,124.0,788.0,205.0,0.0,0.0,29914.0,45.0,26612.0,21629.0,20768.0,2974.0,9.9,0.0,16.9,50.2,16.7,2.6,0.4,2.6,0.7,0.0,0.0,100.0,89.0,90.6,69.4,9.9,2025-01-01,Winter,top10,APXMIDP,6.2,1368.5,6.2,0.0,6.2,0.0062,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 04:00:00,2915.0,0.0,5057.0,15078.0,4900.0,763.0,2.0,796.0,315.0,0.0,0.0,29826.0,45.0,26594.0,21694.0,20741.0,2915.0,9.8,0.0,17.0,50.6,16.4,2.6,0.0,2.7,1.1,0.0,0.0,100.0,89.2,90.4,69.5,9.8,2025-01-01,Winter,top10,APXMIDP,7.01,1824.2,7.01,0.0,7.01,0.00701,Elexon BMRS Market Index Data,APXMIDP
2025-01-01 04:30:00,2809.0,0.0,5047.0,14844.0,4820.0,762.0,2.0,837.0,375.0,0.0,0.0,29496.0,45.0,26310.0,21490.0,20426.0,2809.0,9.5,0.0,17.1,50.3,16.3,2.6,0.0,2.8,1.3,0.0,0.0,100.0,89.2,90.5,69.3,9.5,2025-01-01,Winter,top10,APXMIDP,4.32,1787.1,4.32,0.0,4.32,0.00432,Elexon BMRS Market Index Data,APXMIDP
